ISO_Code,Year,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980"
4.0,F1961,-0.113
4.0,F1962,-0.164
4.0,F1963,0.847
4.0,F1964,-0.764
4.0,F1965,-0.244
4.0,F1966,0.226
4.0,F1967,-0.371
4.0,F1968,-0.423
4.0,F1969,-0.539
4.0,F1970,0.813
4.0,F1971,0.619
4.0,F1972,-1.124
4.0,F1973,0.232
4.0,F1974,-0.489
4.0,F1975,-0.445
4.0,F1976,-0.286
4.0,F1977,0.513
4.0,F1978,0.129
4.0,F1979,0.361
4.0,F1980,0.6
4.0,F1981,0.483
4.0,F1982,-0.346
4.0,F1983,0.164
4.0,F1984,0.145
4.0,F1985,0.283
4.0,F1986,-0.141
4.0,F1987,0.391
4.0,F1988,0.919
4.0,F1989,-0.205
4.0,F1990,0.73
4.0,F1991,-0.168
4.0,F1992,-0.294
4.0,F1993,0.22
4.0,F1994,0.43
4.0,F1995,0.359
4.0,F1996,-0.116
4.0,F1997,0.471
4.0,F1998,0.675
4.0,F1999,1.198
4.0,F2000,0.993
4.0,F2001,1.311
4.0,F2002,1.365
4.0,F2003,0.587
4.0,F2004,1.373
4.0,F2005,0.401
4.0,F2006,1.72
4.0,F2007,0.675
4.0,F2008,0.704
4.0,F2009,0.895
4.0,F2010,1.613
4.0,F2011,1.397
4.0,F2012,0.223
4.0,F2013,1.281
4.0,F2014,0.456
4.0,F2015,1.093
4.0,F2016,1.555
4.0,F2017,1.54
4.0,F2018,1.544
4.0,F2019,0.91
4.0,F2020,0.498
4.0,F2021,1.327
4.0,F2022,2.012
8.0,F1961,0.627
8.0,F1962,0.326
8.0,F1963,0.075
8.0,F1964,-0.166
8.0,F1965,-0.388
8.0,F1966,0.559
8.0,F1967,-0.074
8.0,F1968,0.081
8.0,F1969,-0.013
8.0,F1970,-0.106
8.0,F1971,-0.195
8.0,F1972,-0.069
8.0,F1973,-0.288
8.0,F1974,-0.139
8.0,F1975,-0.211
8.0,F1976,-0.683
8.0,F1977,0.545
8.0,F1978,-0.814
8.0,F1979,0.203
8.0,F1980,-0.414
8.0,F1981,-0.351
8.0,F1982,0.173
8.0,F1983,-0.128
8.0,F1984,-0.27
8.0,F1985,-0.103
8.0,F1986,0.569
8.0,F1987,-0.106
8.0,F1988,0.37
8.0,F1989,-0.066
8.0,F1990,0.795
8.0,F1991,-0.269
8.0,F1992,0.106
8.0,F1993,0.076
8.0,F1994,1.33
8.0,F1995,-0.172
8.0,F1996,-0.038
8.0,F1997,0.075
8.0,F1998,0.795
8.0,F1999,0.67
8.0,F2000,1.065
8.0,F2001,1.532
8.0,F2002,0.492
8.0,F2003,0.97
8.0,F2004,0.444
8.0,F2005,0.189
8.0,F2006,0.345
8.0,F2007,1.316
8.0,F2008,0.978
8.0,F2009,0.91
8.0,F2010,1.191
8.0,F2011,1.055
8.0,F2012,1.487
8.0,F2013,1.333
8.0,F2014,1.198
