ISO_Code,Year,"Climate related disasters frequency, Number of Disasters: Drought","Climate related disasters frequency, Number of Disasters: Extreme temperature","Climate related disasters frequency, Number of Disasters: Flood","Climate related disasters frequency, Number of Disasters: Landslide","Climate related disasters frequency, Number of Disasters: Storm","Climate related disasters frequency, Number of Disasters: TOTAL","Climate related disasters frequency, Number of Disasters: Wildfire"
4.0,F1980,,,1.0,,,1.0,
4.0,F1981,,,,,,,
4.0,F1982,,,,,,,
4.0,F1983,,,,,,,
4.0,F1984,,,,,,,
4.0,F1985,,,,,,,
4.0,F1986,,,,,,,
4.0,F1987,,,,1.0,,1.0,
4.0,F1988,,,1.0,,,1.0,
4.0,F1989,,,,,,,
4.0,F1990,,1.0,,,,1.0,
4.0,F1991,,1.0,3.0,,,4.0,
4.0,F1992,,,2.0,,,2.0,
4.0,F1993,,,,2.0,1.0,3.0,
4.0,F1994,,,,,,,
4.0,F1995,,,2.0,1.0,,3.0,
4.0,F1996,,,1.0,,,1.0,
4.0,F1997,,,2.0,1.0,,3.0,
4.0,F1998,,,1.0,1.0,,2.0,
4.0,F1999,,,1.0,,,2.0,1.0
4.0,F2000,1.0,,,,,1.0,
4.0,F2001,,2.0,,,,2.0,
4.0,F2002,,,4.0,1.0,,5.0,
4.0,F2003,,,8.0,,,8.0,
4.0,F2004,,,2.0,,,2.0,
4.0,F2005,,1.0,8.0,,1.0,10.0,
4.0,F2006,1.0,,7.0,2.0,2.0,12.0,
4.0,F2007,,,7.0,,,7.0,
4.0,F2008,1.0,1.0,1.0,,,3.0,
4.0,F2009,,,3.0,1.0,,4.0,
4.0,F2010,,,2.0,2.0,,4.0,
4.0,F2011,1.0,,2.0,,1.0,4.0,
4.0,F2012,,1.0,6.0,3.0,,10.0,
4.0,F2013,,,4.0,1.0,,5.0,
4.0,F2014,,,2.0,,1.0,3.0,
4.0,F2015,,,1.0,4.0,,5.0,
4.0,F2016,,,4.0,,,4.0,
4.0,F2017,,,1.0,2.0,2.0,5.0,
4.0,F2018,1.0,,3.0,1.0,,5.0,
4.0,F2019,,,6.0,1.0,,7.0,
4.0,F2020,,,5.0,1.0,1.0,7.0,
4.0,F2021,1.0,,2.0,1.0,,4.0,
4.0,F2022,,,5.0,1.0,,6.0,
8.0,F1980,,,,,,,
8.0,F1981,,,,,,,
8.0,F1982,,,,,,,
8.0,F1983,,,,,,,
8.0,F1984,,,,,,,
8.0,F1985,,1.0,,1.0,,2.0,
8.0,F1986,,,,,,,
8.0,F1987,,,,,,,
8.0,F1988,,,,,,,
8.0,F1989,1.0,,,,,1.0,
8.0,F1990,,,,,,,
8.0,F1991,,,,,,,
8.0,F1992,,,1.0,,,1.0,
8.0,F1993,,,,,,,
8.0,F1994,,,,,,,
8.0,F1995,,,2.0,,,2.0,
8.0,F1996,,,,,,,
8.0,F1997,,,1.0,,,1.0,
8.0,F1998,,,,,,,
8.0,F1999,,,,,,,
8.0,F2000,,,,,,,
8.0,F2001,,,,,,,
8.0,F2002,,,1.0,,1.0,2.0,
8.0,F2003,,,,,,,
8.0,F2004,,1.0,1.0,,,2.0,
8.0,F2005,,,1.0,,1.0,2.0,
8.0,F2006,,,,,,,
8.0,F2007,,1.0,,,,2.0,1.0
8.0,F2008,,,,,,,
8.0,F2009,,,1.0,,,1.0,
8.0,F2010,,,1.0,,,1.0,
8.0,F2011,,,,,,,
8.0,F2012,,1.0,,,,1.0,
8.0,F2013,,,,,,,
8.0,F2014,,,,,,,
8.0,F2015,,,3.0,,,3.0,
8.0,F2016,,,1.0,,,1.0,
8.0,F2017,,1.0,1.0,,,2.0,
8.0,F2018,,,1.0,,,1.0,
8.0,F2019,,,,,,,
8.0,F2020,,,,,,,
8.0,F2021,,,1.0,,,1.0,
8.0,F2022,,,,,,,
12.0,F1980,,,,,,,
12.0,F1981,1.0,,1.0,,,2.0,
12.0,F1982,,,1.0,,,1.0,
12.0,F1983,,,,,,,
12.0,F1984,,,1.0,,,1.0,
12.0,F1985,,,1.0,,,1.0,
12.0,F1986,,,,,,,
12.0,F1987,,,,,,,
12.0,F1988,,,,,1.0,1.0,
12.0,F1989,,,,,,,
12.0,F1990,,,,,,,
12.0,F1991,,,,,,,
12.0,F1992,,,1.0,,,1.0,
12.0,F1993,,,1.0,1.0,,2.0,
12.0,F1994,,,2.0,,,3.0,1.0
12.0,F1995,,,,,,,
12.0,F1996,,,1.0,,,1.0,
12.0,F1997,,,1.0,,,1.0,
12.0,F1998,,,,,,,
12.0,F1999,,,1.0,,,1.0,
12.0,F2000,,,4.0,,1.0,5.0,
12.0,F2001,,,1.0,,,1.0,
12.0,F2002,,,3.0,,,3.0,
12.0,F2003,,1.0,3.0,,1.0,5.0,
12.0,F2004,,,2.0,,,2.0,
12.0,F2005,,,2.0,,1.0,3.0,
12.0,F2006,,,1.0,,,1.0,
12.0,F2007,,,6.0,,,7.0,1.0
12.0,F2008,,,1.0,,,1.0,
12.0,F2009,,,2.0,,,2.0,
12.0,F2010,,,,,,,
12.0,F2011,,,1.0,,,1.0,
12.0,F2012,,,2.0,,,2.0,
12.0,F2013,,,,,,,
12.0,F2014,,,,,,,
12.0,F2015,,,2.0,,,2.0,
12.0,F2016,,,,,,,
12.0,F2017,,1.0,,,,1.0,
12.0,F2018,,,1.0,,,1.0,
12.0,F2019,,1.0,,,,1.0,
12.0,F2020,,,,,,,
12.0,F2021,,,2.0,,,3.0,1.0
12.0,F2022,,,,,,1.0,1.0
16.0,F1980,,,,,,,
16.0,F1981,,,,,,,
16.0,F1982,,,,,,,
16.0,F1983,,,,,,,
16.0,F1984,,,,,,,
16.0,F1985,,,,,,,
16.0,F1986,,,,,,,
16.0,F1987,,,,,,,
16.0,F1988,,,,,,,
16.0,F1989,,,,,1.0,1.0,
16.0,F1990,,,,,,,
16.0,F1991,,,,,,,
16.0,F1992,,,,,,,
16.0,F1993,,,,,,,
16.0,F1994,,,,,,,
