ID,ISO_Code,Year,Temperature_change,Drought,Extreme_temperature,Flood,Landslide,Storm,TOTAL,Wildfire
1,4.0,1961,-0.113,,,,,,,
2,4.0,1962,-0.164,,,,,,,
3,4.0,1963,0.847,,,,,,,
4,4.0,1964,-0.764,,,,,,,
5,4.0,1965,-0.244,,,,,,,
6,4.0,1966,0.226,,,,,,,
7,4.0,1967,-0.371,,,,,,,
8,4.0,1968,-0.423,,,,,,,
9,4.0,1969,-0.539,,,,,,,
10,4.0,1970,0.813,,,,,,,
11,4.0,1971,0.619,,,,,,,
12,4.0,1972,-1.124,,,,,,,
13,4.0,1973,0.232,,,,,,,
14,4.0,1974,-0.489,,,,,,,
15,4.0,1975,-0.445,,,,,,,
16,4.0,1976,-0.286,,,,,,,
17,4.0,1977,0.513,,,,,,,
18,4.0,1978,0.129,,,,,,,
19,4.0,1979,0.361,,,,,,,
20,4.0,1980,0.6,,,1.0,,,1.0,
21,4.0,1981,0.483,,,,,,,
22,4.0,1982,-0.346,,,,,,,
23,4.0,1983,0.164,,,,,,,
24,4.0,1984,0.145,,,,,,,
25,4.0,1985,0.283,,,,,,,
26,4.0,1986,-0.141,,,,,,,
27,4.0,1987,0.391,,,,1.0,,1.0,
28,4.0,1988,0.919,,,1.0,,,1.0,
29,4.0,1989,-0.205,,,,,,,
30,4.0,1990,0.73,,1.0,,,,1.0,
31,4.0,1991,-0.168,,1.0,3.0,,,4.0,
32,4.0,1992,-0.294,,,2.0,,,2.0,
33,4.0,1993,0.22,,,,2.0,1.0,3.0,
34,4.0,1994,0.43,,,,,,,
35,4.0,1995,0.359,,,2.0,1.0,,3.0,
36,4.0,1996,-0.116,,,1.0,,,1.0,
37,4.0,1997,0.471,,,2.0,1.0,,3.0,
38,4.0,1998,0.675,,,1.0,1.0,,2.0,
39,4.0,1999,1.198,,,1.0,,,2.0,1.0
40,4.0,2000,0.993,1.0,,,,,1.0,
41,4.0,2001,1.311,,2.0,,,,2.0,
42,4.0,2002,1.365,,,4.0,1.0,,5.0,
43,4.0,2003,0.587,,,8.0,,,8.0,
44,4.0,2004,1.373,,,2.0,,,2.0,
45,4.0,2005,0.401,,1.0,8.0,,1.0,10.0,
46,4.0,2006,1.72,1.0,,7.0,2.0,2.0,12.0,
47,4.0,2007,0.675,,,7.0,,,7.0,
48,4.0,2008,0.704,1.0,1.0,1.0,,,3.0,
49,4.0,2009,0.895,,,3.0,1.0,,4.0,
50,4.0,2010,1.613,,,2.0,2.0,,4.0,
51,4.0,2011,1.397,1.0,,2.0,,1.0,4.0,
52,4.0,2012,0.223,,1.0,6.0,3.0,,10.0,
53,4.0,2013,1.281,,,4.0,1.0,,5.0,
54,4.0,2014,0.456,,,2.0,,1.0,3.0,
55,4.0,2015,1.093,,,1.0,4.0,,5.0,
56,4.0,2016,1.555,,,4.0,,,4.0,
57,4.0,2017,1.54,,,1.0,2.0,2.0,5.0,
58,4.0,2018,1.544,1.0,,3.0,1.0,,5.0,
59,4.0,2019,0.91,,,6.0,1.0,,7.0,
60,4.0,2020,0.498,,,5.0,1.0,1.0,7.0,
61,4.0,2021,1.327,1.0,,2.0,1.0,,4.0,
62,4.0,2022,2.012,,,5.0,1.0,,6.0,
63,8.0,1961,0.627,,,,,,,
64,8.0,1962,0.326,,,,,,,
65,8.0,1963,0.075,,,,,,,
66,8.0,1964,-0.166,,,,,,,
67,8.0,1965,-0.388,,,,,,,
68,8.0,1966,0.559,,,,,,,
69,8.0,1967,-0.074,,,,,,,
70,8.0,1968,0.081,,,,,,,
71,8.0,1969,-0.013,,,,,,,
72,8.0,1970,-0.106,,,,,,,
73,8.0,1971,-0.195,,,,,,,
74,8.0,1972,-0.069,,,,,,,
75,8.0,1973,-0.288,,,,,,,
76,8.0,1974,-0.139,,,,,,,
77,8.0,1975,-0.211,,,,,,,
78,8.0,1976,-0.683,,,,,,,
79,8.0,1977,0.545,,,,,,,
80,8.0,1978,-0.814,,,,,,,
81,8.0,1979,0.203,,,,,,,
