ISO_Code,Year,Artificial_surfaces,Climate_Altering_Land_Cover_Index,Grassland,Herbaceous_crops,Inland_water_bodies,Mangroves,Permanent_snow_and_glaciers,Shrub_covered_areas,Shrubs_and_or_herbaceous_vegetation,Sparsely_natural_vegetated_areas,Terrestrial_barren_land,Total_Land_Cover,Tree_covered_areas,Woody_crops
4.0,1992,25.3207,98.592111874563,24035.385,5763.3488,261.2284,0.0,317.574,3350.5526,5.8206,4275.2553,24963.0009,,1263.7031,87.4339
4.0,1993,25.7741,98.6993192636727,24035.4149,5769.1948,261.2284,0.0,317.574,3350.5468,5.8206,4275.2243,24963.0009,,1263.788,81.1109
4.0,1994,26.1577,98.6767692599288,24035.4401,5767.4886,261.2284,0.0,317.574,3350.5359,5.8206,4275.2243,24963.0009,,1263.862,82.3606
4.0,1995,26.6867,98.8813615121543,24045.9587,5778.9638,228.3898,0.0,317.574,3312.1205,5.8438,4227.8536,25088.5751,,1241.1249,75.5124
4.0,1996,27.2273,99.0586123162926,24044.9846,5788.8312,207.9674,0.0,317.574,3306.6573,5.9213,4220.793,25108.3556,,1240.8172,79.4857
4.0,1997,27.9248,99.1714834241088,24053.619,5794.7645,189.5678,0.0,317.574,3291.027,6.0066,4217.003,25131.6873,,1240.3084,79.1738
4.0,1998,28.9886,99.3535809399885,24056.196,5804.3888,185.4756,0.0,317.574,3286.1783,6.0608,4202.0137,25139.2102,,1240.2216,82.3105
4.0,1999,29.721,99.8956634691626,24193.0273,5835.4893,156.2255,0.0,317.574,3254.1849,6.0686,4192.6434,25045.9935,,1241.4993,76.251
4.0,2000,30.7847,100.085910148905,24253.1341,5845.5927,150.2344,0.0,317.574,3210.8115,6.0763,4064.552,25188.5125,,1228.1143,53.2593
4.0,2001,33.1215,99.4828312782896,24308.3116,5807.8544,108.5681,0.0,317.574,3163.3889,6.5026,4034.3563,25318.6058,,1197.5272,52.9155
4.0,2002,36.2895,99.2976499177592,24390.1533,5793.8027,87.9132,0.0,317.574,3149.2463,6.9831,4037.1774,25287.7576,,1185.1118,56.5948
4.0,2003,38.1438,98.3720775963357,24463.6698,5737.6092,80.6898,0.0,317.574,3137.0386,6.9909,4027.1639,25264.3621,,1173.5311,101.8773
4.0,2004,39.0912,99.0098781764908,24589.0637,5774.105,68.6688,0.0,317.574,3129.1103,7.0606,4069.3107,25117.7296,,1166.7084,70.1817
4.0,2005,40.7363,99.4568730784819,24620.2911,5798.7085,68.7618,0.0,317.574,3127.0797,7.0606,4063.6374,25061.6451,,1165.1447,78.0095
